tag_arrival_rate_per_s,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300,9999.1312,0.0000,9995.7150,10000.9506,9999.2250,9999.6175
600,10000.0124,0.0000,9997.4988,9999.7394,5303.6475,10000.6925
900,9991.9935,9997.3540,9998.4400,10000.2025,9999.8888,10000.0525
1200,10000.1476,9993.1924,9998.2288,10000.4988,9985.8563,9999.1225
1500,9999.8417,10000.6577,9999.8862,10000.1875,9840.6912,10000.5750
1800,9999.1302,9998.1966,9999.5100,10000.3750,9991.7038,9999.9737
2100,9997.1332,9994.4891,9998.4050,10000.0575,9804.2375,9999.6688
2400,9993.0499,10000.4654,9992.3288,9999.5263,9888.8913,9999.3375
2700,9723.2105,10001.2876,9998.6475,9999.4125,9941.9538,9997.5888
3000,9642.0215,10001.2074,9999.9888,9998.1987,9876.0662,9997.8125
