tag_arrival_rate_per_s,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300,12.7772,2.0288,6.3127,8.6042,10.3268,31.8683
600,9.4499,2.0143,3.6161,2.0269,9.3814,2.1423
900,6.3876,2.0702,2.5562,2.0031,5.8500,2.0408
1200,6.0535,2.0179,2.3964,2.0057,5.8555,2.0286
1500,6.2173,2.1529,2.3651,2.0043,6.8845,2.0207
1800,6.5366,2.1012,2.3609,2.0035,24.9171,2.0178
2100,6.7150,2.3276,2.4002,2.0056,11.8364,2.0157
2400,7.3766,2.3814,2.4343,2.0035,16.7525,2.0153
2700,8.9039,2.2374,2.5106,2.0040,21.3211,2.0146
3000,9.4392,2.1282,2.5416,2.0051,30.8260,2.0145
