mean_residence_time_ms,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
500,236.1000,345.2500,844.2500,489.7500,134.9500,490.3000
750,238.6000,350.2000,843.2000,488.4000,308.4000,489.0500
1000,214.2500,334.2500,829.3000,487.5000,212.7500,487.7500
1250,189.4000,316.0000,827.1000,486.9500,170.9500,487.6000
1500,190.8500,337.1500,793.0500,485.9500,122.4500,486.9000
2000,180.8500,302.9500,723.0000,485.4000,97.8500,486.5500
3000,138.1000,329.9500,641.8500,483.9000,72.0000,485.9000
