mean_residence_time_ms,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
500,426.9966,1769.2170,301.1244,247.5489,264.1836,1155.3182
750,637.3350,2604.7819,456.2300,362.7473,343.2713,1565.9996
1000,838.7344,3142.8638,611.8196,472.9819,347.1702,2177.0448
1250,1046.0688,4051.9901,743.6235,587.5208,539.5439,2325.7854
1500,1271.3588,4664.8467,916.7635,693.2012,540.9583,2531.8421
2000,1678.1354,4244.0970,1251.4757,901.0437,597.6713,2952.9893
3000,2537.2929,4748.6303,1811.4982,1268.8187,262.1118,3023.1715
