mean_residence_time_ms,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
500,6.5676,2.0903,2.5338,2.0075,94.8953,2.0193
750,6.2396,2.1044,2.4071,2.0049,7.1932,2.0178
1000,6.7820,2.2677,2.3813,2.0036,10.9132,2.0217
1250,7.8806,2.4023,2.3864,2.0013,14.0172,2.0173
1500,7.6007,2.2590,2.3650,2.0039,20.3721,2.0166
2000,8.0867,2.5011,2.3791,2.0014,25.4817,2.0156
3000,10.4562,2.2849,2.4023,2.0024,34.6017,2.0177
