mean_residence_time_ms,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
500,340648.0000,350123.5000,448278.0000,312236.0000,632929.0000,311943.5000
750,327228.0000,361258.5000,423750.0000,316657.0000,480326.0000,315202.0000
1000,319440.0000,372732.0000,411565.0000,319547.5000,507485.0000,318223.0000
1250,327756.0000,374458.0000,415376.0000,321836.0000,521884.0000,319097.5000
1500,318912.0000,376147.0000,392831.5000,323415.5000,538032.0000,320885.5000
2000,321662.0000,373974.5000,362923.0000,325798.5000,540507.0000,321961.5000
3000,317592.0000,373401.0000,335752.0000,329430.5000,546942.0000,324012.5000
