mean_residence_time_ms,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
500,2634624.0000,3483799.0000,4895017.0000,660350.0000,271671.0000,5059276.0000
750,3413568.0000,3699749.0000,5104986.0000,754169.0000,535582.0000,5399510.0000
1000,3919968.0000,4550533.0000,5376569.0000,788527.0000,568480.0000,5537566.0000
1250,4259520.0000,3470597.0000,5245526.0000,763984.0000,247545.0000,5662300.0000
1500,4688928.0000,4003048.0000,5456335.0000,827622.0000,196305.0000,5608148.0000
2000,4903104.0000,4977369.0000,5538194.0000,961059.0000,893804.0000,5659843.0000
3000,5946336.0000,5837694.0000,5812982.0000,1153785.0000,1271273.0000,6206334.0000
