mean_residence_time_ms,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
500,9975.9715,9993.1799,9998.2850,9999.8988,9999.2275,10000.5487
750,9997.9723,10000.2084,9996.7237,9999.1250,9864.6187,10000.5375
1000,9997.9602,10001.4812,9999.9900,9999.1375,9813.9850,10000.7725
1250,9999.7484,10000.3933,9998.3550,10000.5175,9802.4387,9997.9912
1500,9998.6225,10001.1650,9999.4813,9999.6513,6135.3938,9999.3075
2000,9999.9458,10000.7626,9997.2975,10000.4225,9851.0975,9997.9625
3000,10000.1568,10000.3708,9991.1887,10000.5187,8545.9125,9999.7612
