mean_residence_time_ms,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
500,2696400.0000,4247504.5000,675055.0000,4970871.5000,174174.5000,5032192.0000
750,3333648.0000,4834093.5000,749641.5000,5141740.5000,534276.5000,5239508.5000
1000,3912576.0000,4753984.5000,787729.0000,5298859.0000,568467.5000,5550048.0000
1250,4183392.0000,5640452.0000,784701.0000,5249361.0000,620939.5000,5591962.0000
1500,4665984.0000,6310637.5000,872292.5000,5480335.0000,689927.0000,5610848.0000
2000,4853280.0000,7186313.0000,1011275.0000,5727390.5000,908936.0000,5821753.0000
3000,5979552.0000,9035778.5000,1212888.5000,5747032.0000,1276477.5000,6045905.0000
