mean_residence_time_ms,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
500,2979298.0000,3904964.0000,5207378.0000,1112745.0000,847301.0000,5371425.0000
750,3738310.0000,4129665.0000,5421846.0000,1175487.0000,1016194.0000,5715177.0000
1000,4237912.0000,4992841.0000,5696030.0000,1199787.0000,1076504.0000,5855587.0000
1250,4593568.0000,3920962.0000,5567239.0000,1186262.0000,854239.0000,5982278.0000
1500,5015408.0000,4452411.0000,5779837.0000,1231741.0000,818575.0000,5928974.0000
2000,5220916.0000,5427904.0000,5864041.0000,1334539.0000,1436368.0000,5982578.0000
3000,6266062.0000,6285063.0000,6142189.0000,1495028.0000,1820019.0000,6529731.0000
