mean_residence_time_ms,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
500,6.5825,2.2109,2.0057,2.5462,14.0177,2.0204
750,6.3245,2.2823,2.0029,2.4227,7.2717,2.0199
1000,6.8867,2.3685,2.0049,2.3776,10.9820,2.0184
1250,8.1197,2.0392,2.0033,2.3987,20.7493,2.0187
1500,7.9438,2.3123,2.0045,2.3833,22.3656,2.0172
2000,7.9664,2.7965,2.0014,2.3590,25.3706,2.0121
3000,10.6576,3.2844,2.0029,2.3834,37.1412,2.0152
