mean_residence_time_ms,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
500,3037048.0000,4597628.0000,1123333.0000,5283107.5000,807103.5000,5344135.5000
750,3660876.0000,5195352.0000,1173391.5000,5458397.5000,1014602.5000,5554710.5000
1000,4232016.0000,5126716.5000,1199294.0000,5618406.5000,1075952.5000,5868271.0000
1250,4511148.0000,6014910.0000,1200077.0000,5571197.0000,1142823.5000,5911059.5000
1500,4984896.0000,6686784.5000,1265124.0000,5803750.5000,1227959.0000,5931733.5000
2000,5174942.0000,7560287.5000,1374198.0000,6053189.0000,1449443.0000,6143714.5000
3000,6297144.0000,9409179.5000,1548640.5000,6076462.5000,1823419.5000,6369917.5000
