mean_residence_time_ms,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
500,9997.3240,9998.8180,10000.0462,9997.8881,5085.4750,9998.7819
750,9998.7309,9600.1876,9999.9350,9997.9356,9882.5731,9998.8881
1000,9995.7335,10000.4744,10000.6912,9999.0669,9929.0719,10000.6737
1250,9998.8069,9998.3761,9999.7275,9998.5556,9911.2206,10000.6294
1500,9999.5814,9620.6462,10000.2019,9999.0019,9929.4287,9999.8312
2000,9999.4535,9997.5772,10000.3138,9999.6763,9845.5025,10000.4594
3000,9540.1256,9216.3504,10000.6388,9998.6050,9109.0900,10000.7319
