mean_residence_time_ms,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
500,344674.0000,421165.0000,312361.0000,452395.0000,575630.0000,312149.0000
750,324742.0000,429916.0000,316860.0000,421318.0000,480612.0000,315667.0000
1000,317944.0000,442308.0000,319461.0000,411260.0000,508024.0000,318021.0000
1250,334048.0000,450365.0000,321713.0000,422278.0000,606694.0000,319978.0000
1500,326480.0000,449363.0000,323502.0000,404119.0000,622270.0000,320826.0000
2000,317812.0000,450535.0000,325847.0000,373480.0000,542564.0000,322735.0000
3000,319726.0000,447369.0000,329207.0000,341243.0000,548746.0000,323397.0000
