mean_residence_time_ms,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
500,1.0000,0.8941,1.0000,1.0000,1.0000,1.0000
750,1.0000,0.9091,1.0000,1.0000,1.0000,1.0000
1000,1.0000,0.9331,1.0000,1.0000,1.0000,1.0000
1250,1.0000,0.9440,1.0000,1.0000,1.0000,1.0000
1500,0.9999,0.9441,1.0000,1.0000,1.0000,1.0000
2000,0.9999,0.9471,1.0000,1.0000,1.0000,1.0000
3000,0.9998,0.9426,1.0000,1.0000,1.0000,1.0000
