mean_residence_time_ms,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
500,238.3000,267.0000,490.0000,848.8000,209.1000,490.2000
750,233.6000,262.5000,488.8000,834.9000,304.7000,488.6000
1000,210.0000,259.4000,487.3000,829.4000,211.5000,488.0000
1250,187.1000,303.9000,486.7000,836.8000,146.0000,487.2000
1500,186.9000,268.3000,486.0000,806.9000,136.5000,487.0000
2000,181.4000,222.6000,485.4000,750.1000,97.4000,486.4000
3000,136.4000,188.8000,483.8000,660.7000,67.3000,485.9000
