mean_residence_time_ms,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
500,0.8815,0.8673,0.7534,0.5758,0.8947,0.7561
750,0.8842,0.8698,0.7582,0.5826,0.8481,0.7561
1000,0.8939,0.8702,0.7555,0.5879,0.8945,0.7530
1250,0.9064,0.8471,0.7576,0.5836,0.9266,0.7573
1500,0.9064,0.8659,0.7588,0.5984,0.9317,0.7570
2000,0.9089,0.8888,0.7577,0.6230,0.9508,0.7571
3000,0.9312,0.9045,0.7565,0.6682,0.9664,0.7575
