mean_residence_time_ms,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
500,0.9999,0.8864,1.0000,1.0000,1.0000,1.0000
750,1.0000,0.9077,1.0000,1.0000,1.0000,1.0000
1000,1.0000,0.9343,1.0000,1.0000,1.0000,1.0000
1250,1.0000,0.9365,1.0000,1.0000,1.0000,1.0000
1500,1.0000,0.9373,1.0000,1.0000,1.0000,1.0000
2000,0.9999,0.9348,1.0000,1.0000,1.0000,1.0000
3000,0.9999,0.9307,1.0000,1.0000,1.0000,1.0000
