burstiness_factor,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
1,827.4767,3298.4073,490.1731,605.3623,376.5780,1843.0688
2,784.8625,3261.8508,493.3037,630.3321,351.9226,1930.3556
5,835.9054,3636.5699,502.5880,589.7119,315.0197,1869.7519
10,831.5778,3534.1475,505.8701,573.6699,315.3454,1852.9766
15,831.5747,3569.7417,511.0831,571.2993,317.4431,2163.4405
20,836.4465,3682.2688,509.6718,567.2375,365.4384,2026.5116
