burstiness_factor,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
1,7032034.0000,7657716.0000,10878312.0000,2470883.0000,2025883.0000,11034351.0000
2,7423322.0000,7796401.0000,11047869.0000,2479510.0000,2002867.0000,11154070.0000
5,8667198.0000,7205645.0000,10884722.0000,2538420.0000,1981689.0000,11170618.0000
10,8855430.0000,7613957.0000,10854692.0000,2558899.0000,1977065.0000,11222960.0000
15,9023324.0000,8221036.0000,11005828.0000,2556912.0000,1980168.0000,11209222.0000
20,8979224.0000,8241826.0000,10750941.0000,2564433.0000,1981229.0000,11354994.0000
