burstiness_factor,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
1,1.0000,0.9224,1.0000,1.0000,1.0000,1.0000
2,1.0000,0.9523,1.0000,1.0000,1.0000,1.0000
5,1.0000,0.8903,1.0000,1.0000,1.0000,1.0000
10,1.0000,0.9085,1.0000,1.0000,1.0000,1.0000
15,1.0000,0.9196,1.0000,1.0000,1.0000,1.0000
20,1.0000,0.9208,1.0000,1.0000,1.0000,1.0000
