burstiness_factor,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
1,6344928.0000,8093871.0000,1681202.0000,10299667.0000,35425.0000,10418261.0000
2,6709344.0000,8660815.0000,1667759.0000,10412969.0000,976843.0000,10570579.0000
5,7930368.0000,7956943.0000,1722484.0000,10223161.0000,892633.0000,10689170.0000
10,8326176.0000,8298117.0000,1738946.0000,10369097.0000,879066.0000,10558487.0000
15,8385696.0000,8331349.0000,1746861.0000,10308861.0000,872957.0000,10623482.0000
20,8487168.0000,8789109.0000,1744311.0000,10267995.0000,867396.0000,10654104.0000
