burstiness_factor,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
1,5.8528,2.0915,2.0030,2.2661,7.1012,2.0157
2,7.0825,2.0687,2.0046,2.4082,10.7383,2.0125
5,9.8679,2.0404,2.0043,2.4671,18.1140,2.0119
10,10.5755,2.1131,2.0035,2.5415,23.1120,2.0102
15,10.5109,2.1128,2.0043,2.5394,25.3714,2.0105
20,10.6824,2.0188,2.0040,2.5291,22.7152,2.0111
