burstiness_factor,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
1,6997426.0000,8844481.0000,2476857.0000,10933033.0000,1477371.0000,11050738.0000
2,7362260.0000,9404965.0000,2479845.0000,11047559.0000,2003561.0000,11203437.0000
5,8553386.0000,8674763.0000,2535270.0000,10857403.0000,1982403.0000,11322987.0000
10,8930010.0000,9013968.0000,2551953.0000,11003875.0000,1979990.0000,11193022.0000
15,8980730.0000,9050851.0000,2559761.0000,10943664.0000,1981053.0000,11257961.0000
20,9081454.0000,9518175.0000,2557490.0000,10902792.0000,1977494.0000,11288055.0000
