burstiness_factor,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
1,0.8343,0.7482,0.4495,0.6740,0.9913,0.6746
2,0.8735,0.7601,0.4489,0.6744,0.8517,0.6742
5,0.9057,0.7630,0.4557,0.6744,0.9136,0.6743
10,0.9135,0.7701,0.4613,0.6744,0.9231,0.6744
15,0.9136,0.7686,0.4605,0.6745,0.9316,0.6744
20,0.9133,0.7555,0.4649,0.6746,0.9345,0.6744
