burstiness_factor,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
1,20000.3490,20000.0449,19997.3975,19999.2988,19923.5125,20000.7212
2,20000.0899,20000.7168,19999.5475,19999.4600,19873.7713,20000.0863
5,19999.2003,20000.4843,19998.5938,20000.3937,19639.6750,19999.2012
10,19998.9426,20001.2478,19998.5075,20000.1125,19506.6975,20000.0850
15,19997.7018,19979.6989,19997.4162,20000.6750,19462.1813,20000.8375
20,20000.7700,19394.7331,19998.8262,19999.5825,19454.9200,19999.8950
