burstiness_factor,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
1,652498.0000,750610.0000,795655.0000,633366.0000,1441946.0000,632477.0000
2,652916.0000,744150.0000,812086.0000,634590.0000,1026718.0000,632858.0000
5,623018.0000,717820.0000,812786.0000,634242.0000,1089770.0000,633817.0000
10,603834.0000,715851.0000,813007.0000,634778.0000,1100924.0000,634535.0000
15,595034.0000,719502.0000,812900.0000,634803.0000,1108096.0000,634479.0000
20,594286.0000,729066.0000,813179.0000,634797.0000,1110098.0000,633951.0000
