burstiness_factor,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
1,20000.3297,19839.9234,19999.1063,19998.6925,600.9138,20000.4062
2,19994.1890,19999.5872,19999.3500,19997.9837,19922.9238,19998.9125
5,20000.2367,20000.7666,20000.4825,19998.3125,19556.1050,20000.6375
10,20000.0839,19996.4552,20000.0887,19999.3462,19971.3462,19999.7788
15,19998.1920,20000.8062,20000.1375,19999.1950,19993.3600,19997.9350
20,19996.8994,19571.7454,20000.9087,19996.5788,19896.3975,19999.5563
