burstiness_factor,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
1,6384288.0000,6782542.0000,10245359.0000,1673922.0000,1061491.0000,10402552.0000
2,6777600.0000,6892565.0000,10413506.0000,1667570.0000,974785.0000,10521513.0000
5,8054784.0000,6360027.0000,10250033.0000,1725955.0000,896781.0000,10537502.0000
10,8249088.0000,6752195.0000,10219960.0000,1745683.0000,873523.0000,10588417.0000
15,8427168.0000,7348314.0000,10371007.0000,1743806.0000,871588.0000,10575002.0000
20,8383200.0000,7366253.0000,10116275.0000,1751101.0000,878391.0000,10720465.0000
