burstiness_factor,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
1,0.8327,0.8074,0.6730,0.4571,0.7923,0.6731
2,0.8618,0.7981,0.6745,0.4520,0.8537,0.6742
5,0.9059,0.8087,0.6745,0.4543,0.9085,0.6743
10,0.9131,0.8114,0.6745,0.4648,0.9271,0.6744
15,0.9140,0.8091,0.6746,0.4640,0.9332,0.6743
20,0.9154,0.8001,0.6745,0.4620,0.9258,0.6744
