burstiness_factor,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
1,251.7000,290.1500,488.8000,822.8500,311.8000,489.0000
2,207.3500,302.8000,488.2500,822.0000,219.5000,488.7000
5,141.1500,286.9000,488.2000,818.5500,137.3000,488.6000
10,130.4000,282.9000,488.3000,802.7500,109.4000,488.4500
15,129.0000,286.3000,488.1500,804.0500,100.1500,488.5500
20,126.9000,299.8000,488.2500,807.0500,111.3000,488.3500
