burstiness_factor,ABP,ACDQT,DCT,ISCT_Update3,MRSMBA,TAD
1,647746.0000,875174.0000,632953.0000,796961.0000,964392.0000,631799.0000
2,645722.0000,903836.0000,634363.0000,811940.0000,1028082.0000,632557.0000
5,612414.0000,845618.0000,634689.0000,812465.0000,1084908.0000,633116.0000
10,606342.0000,861762.0000,634732.0000,813216.0000,1103542.0000,634543.0000
15,596156.0000,872722.0000,634821.0000,813106.0000,1108580.0000,634220.0000
20,596024.0000,875573.0000,634666.0000,813332.0000,1102838.0000,634529.0000
