burstiness_factor,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
1,1.0000,0.9393,1.0000,1.0000,1.0000,1.0000
2,0.9999,0.9332,1.0000,1.0000,1.0000,1.0000
5,1.0000,0.8986,1.0000,1.0000,1.0000,1.0000
10,1.0000,0.8977,1.0000,1.0000,1.0000,1.0000
15,1.0000,0.9027,1.0000,1.0000,1.0000,1.0000
20,1.0000,0.9119,1.0000,1.0000,1.0000,1.0000
