burstiness_factor,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
1,5.9074,2.0003,2.2407,2.0049,252.1308,2.0127
2,7.8276,2.1035,2.3917,2.0030,10.5906,2.0125
5,10.0209,2.0485,2.4735,2.0033,19.2846,2.0114
10,10.5846,2.1117,2.5203,2.0031,21.8786,2.0111
15,10.4385,2.1096,2.5196,2.0036,24.7573,2.0107
20,10.3893,2.0149,2.5468,2.0042,25.8845,2.0111
