burstiness_factor,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
1,827.5094,2845.2604,608.6424,489.2045,243.5344,1894.0289
2,808.8695,2862.3235,627.7369,495.4925,347.7637,1905.1547
5,832.6648,3101.6535,587.0641,502.7477,313.9616,1952.7033
10,837.7808,3075.2759,573.6614,506.7775,312.6482,1780.1013
15,831.1318,3068.1630,567.1151,510.4591,310.7036,2152.8512
20,833.2687,3109.9229,567.5198,509.4774,316.5246,1775.3736
