time_ms,interval_throughput_tps,unidentified_count_mean
1000,162.59274178095148,335.3885411333516
2000,193.60397054475382,486.22386010510957
3000,213.44632789855794,483.522851347752
4000,209.98255005947806,495.38611409600406
5000,231.7096913724437,524.8827584859039
6000,228.73600139655025,464.3878590216189
7000,244.5104313284656,513.9749762416238
8000,241.94836322915964,554.7807678776778
9000,225.5446632422555,476.06858111763427
10000,218.3470889714847,469.33725462591207
11000,201.90430478495412,487.71612551806743
12000,184.10321813677987,392.49578140766505
13000,158.22680835817624,352.447545701305
14000,158.14192576222288,321.5354722362878
15000,120.20765769542503,244.70602050069058
16000,100.40790387034988,218.43455791048282
17000,111.70296746501228,238.4498928187532
18000,76.53191231671478,170.51567535828997
19000,76.32625355844246,212.21740950034697
20000,85.83411539542253,178.64410645191282
21000,80.89145084584578,248.21311088966468
22000,99.36081155536668,261.24174522855293
23000,121.94245761844854,280.0785411028787
24000,136.57124282791747,276.3305743651171
25000,141.29188333793084,354.0675885712412
26000,181.13666698962834,392.3690846095016
27000,198.36059954377208,426.6707527761806
28000,227.40051423139033,479.0518041987227
29000,233.55235818013756,510.6577906535812
30000,225.92616166179815,497.6478390026947
31000,258.4369912580509,544.6595064498084
32000,239.51014370742254,519.9587185896654
33000,231.46992868833988,475.0743359787652
34000,219.22471531638806,488.4777143891657
35000,213.4043399801279,518.4847070901674
36000,184.89454818459035,404.38902319525477
37000,166.9418541038894,365.64201426371704
38000,171.1534060419277,388.19137802337394
39000,139.70318213298103,344.38434018087673
40000,106.59582340576648,291.95630796252016
41000,117.24976392306488,317.0994441639089
42000,100.95729483053074,215.99309411144327
43000,73.63803848009032,181.35509151639306
44000,82.83830968358106,187.12063594311797
45000,97.51208861992617,267.84191868710093
46000,101.23121664457865,207.9977393381326
47000,114.07463122981618,308.20839122501485
48000,124.71106396158146,271.5801567433269
49000,139.97752260794982,372.22417394558204
50000,173.12204403016668,347.6027390754656
