time_ms,interval_throughput_tps,unidentified_count_mean
1000,520.0844262545878,261.54928241425165
2000,586.9073972064341,327.84318688372457
3000,632.7900720273933,328.491447489367
4000,666.5636648470543,356.72939521114625
5000,715.4817959909321,395.87513192750083
6000,695.51773311418,385.8557737286443
7000,746.0784887079299,373.6718746802054
8000,716.0343401135643,394.74667504349065
9000,706.3006187385579,372.21052107539424
10000,756.7825909556537,397.11833261582956
11000,724.1634267263613,1909.0616108352822
12000,705.8190787658239,1880.7770368481465
13000,616.1894899965682,1688.4591515427906
14000,598.9533523265479,1523.1031425744632
15000,555.5322403744223,1541.5147761374647
16000,486.25057571219105,1320.860547955113
17000,457.44146633602753,1151.2455043597602
18000,450.5166048955986,1245.0357129886866
19000,430.1869585883446,1238.3582768028648
20000,527.8717327293051,1350.8030856015012
21000,526.280371965566,1339.1005291603815
22000,564.4405300354226,1602.7218446783038
23000,580.821847133038,1452.537843968185
24000,635.8470132439952,1622.2539256425782
25000,677.3527831270726,1746.4557434322137
26000,732.0574332034713,1994.417757799966
27000,816.2910153772174,2192.7988764594547
28000,822.4457399759899,2240.510766072037
29000,876.1104563223322,2311.35300653008
30000,826.5267828527303,2266.1149169697483
31000,824.4039039348432,2084.5340102521072
32000,808.0122692994001,2086.984308176245
33000,813.803319551645,2138.3660445087216
34000,767.0217275499036,1968.2109237454208
35000,746.8228244773406,2024.9847869984726
36000,730.2550703697055,1929.2051474834961
37000,646.1467191404257,1615.5565756682106
38000,589.5803027471328,1557.6221085078068
39000,568.1095417738522,1585.416532015101
40000,403.9992695098114,1092.229082171495
41000,380.79935559103563,207.76041902800438
42000,327.26033383561236,198.31354822523767
43000,341.0417067252402,204.3113178184061
44000,346.4356993054453,178.93714321286637
45000,318.2758306637984,179.97688056920873
46000,349.9217705626108,204.21546521993605
47000,403.44994974934843,205.9438456568932
48000,409.81709232856383,234.51999434789573
49000,465.7994258645829,238.0591498890379
50000,523.0317549955273,301.0781370308402
