time_ms,ISCT_Update3,DCT,MRSMBA,ACDQT,TAD,ABP
33001.3829,,,,0.7036,,
34000.2550,,,0.1329,,,
34000.2930,0.5305,,,,,
34000.3890,,,,,,0.2662
34000.5441,,,,0.8326,,
34000.8587,,,,,0.5036,
34000.9662,,0.5035,,,,
35000.1781,,,,0.6131,,
35000.2462,,,,,0.5066,
35000.3763,,,0.5243,,,
35000.5315,,,,,,0.2547
35000.6630,0.5375,,,,,
35000.8800,,0.5050,,,,
36000.0056,,,,0.2198,,
36000.1125,,,,,0.5013,
36000.4890,,,,,,0.2518
36000.6000,,,0.6391,,,
36000.6255,0.5462,,,,,
36000.7562,,0.5059,,,,
37000.1712,,,0.4154,,,
37000.2018,,,,0.5886,,
37000.4015,,,,,,0.2404
37000.7267,0.5515,,,,,
37000.7325,,0.5050,,,,
37001.0150,,,,,0.5054,
38000.0400,,,0.1400,,,
38000.3015,,,,,,0.2404
38000.4017,0.5042,,,,,
38000.5150,,0.5025,,,,
38000.9362,,,,,0.5032,
38002.0029,,,,0.8427,,
39000.0290,,,,,,0.2394
39000.1374,,,,0.0518,,
39000.1612,,,,,0.5034,
39000.2500,,,0.1182,,,
39000.3605,0.5519,,,,,
39000.8913,,0.5035,,,,
40000.3565,,,,,,0.2594
40000.4800,,0.5060,,,,
40000.4967,0.5638,,,,,
40000.5049,,,,0.4697,,
40000.5088,,,,,0.5039,
40000.7862,,,0.6437,,,
41000.1790,,,,,,0.2902
41000.2538,,,0.5995,,,
41000.2724,,,,0.7745,,
41000.3725,,0.5044,,,,
41000.4413,,,,,0.5040,
41000.4855,0.6172,,,,,
42000.1455,0.5316,,,,,
42000.3662,,,0.5216,,,
42000.5490,,,,,,0.1656
42000.8262,,,,,0.5031,
42001.0200,,0.5033,,,,
42001.0452,,,,0.3928,,
43000.1215,,,,,,0.1782
43000.1338,,,0.5022,,,
43000.1641,0.3692,,,,,
43000.2115,,,,0.6472,,
43000.3200,,,,,0.5045,
43000.3475,,0.5048,,,,
44000.1087,,,0.4792,,,
44000.1621,0.5666,,,,,
44000.2903,,,,0.2556,,
44000.4915,,,,,,0.1752
44000.5725,,,,,0.5046,
44000.8325,,0.5066,,,,
45000.0908,0.5631,,,,,
45000.1937,,,0.4974,,,
45000.6065,,,,,,0.1723
45000.6600,,,,,0.5027,
45000.8225,,0.5026,,,,
45002.2783,,,,0.7263,,
46000.0212,,,0.4949,,,
46000.4525,,,,,0.5040,
46000.5713,,0.5047,,,,
46000.6214,0.5561,,,,,
46000.7840,,,,,,0.1714
46001.3443,,,,0.2222,,
47000.1300,,0.5061,,,,
47000.3135,0.5742,,,,,
47000.3815,,,,,,0.1619
47000.5700,,,0.5441,,,
47000.6250,,,,,0.5043,
47001.7147,,,,0.7705,,
48000.0750,,,0.5176,,,
48000.3012,,,,,0.5042,
48000.3662,,0.5051,,,,
48000.5344,0.5622,,,,,
48000.8915,,,,,,0.1904
48001.0560,,,,0.2869,,
49000.0040,,,,,,0.1553
49000.1288,,,,,0.5016,
49000.2812,,,0.4959,,,
49000.4075,,0.5054,,,,
49000.6171,,,,0.7786,,
49002.4158,0.5888,,,,,
