time_ms,ISCT_Update3,DCT,MRSMBA,ACDQT,TAD,ABP
33001.3829,,,,458.9352,,
34000.2550,,,0.0000,,,
34000.2930,540.9155,,,,,
34000.3890,,,,,,278.0633
34000.5441,,,,540.4533,,
34000.8587,,,,,488.9969,
34000.9662,,489.5368,,,,
35000.1781,,,,273.1000,,
35000.2462,,,,,492.3015,
35000.3763,,,331.9597,,,
35000.5315,,,,,,265.9621
35000.6630,549.7966,,,,,
35000.8800,,491.0424,,,,
36000.0056,,,,145.0250,,
36000.1125,,,,,487.0651,
36000.4890,,,,,,263.0112
36000.6000,,,477.8931,,,
36000.6255,560.0210,,,,,
36000.7562,,492.0609,,,,
37000.1712,,,294.1261,,,
37000.2018,,,,385.9243,,
37000.4015,,,,,,251.0220
37000.7267,567.9425,,,,,
37000.7325,,491.0117,,,,
37001.0150,,,,,491.5564,
38000.0400,,,0.0000,,,
38000.3015,,,,,,251.0251
38000.4017,529.1720,,,,,
38000.5150,,489.1064,,,,
38000.9362,,,,,490.0386,
38002.0029,,,,511.0795,,
39000.0290,,,,,,250.0681
39000.1374,,,,26.0486,,
39000.1612,,,,,489.3793,
39000.2500,,,0.0000,,,
39000.3605,577.0238,,,,,
39000.8913,,489.8157,,,,
40000.3565,,,,,,270.9113
40000.4800,,492.2024,,,,
40000.4967,602.9179,,,,,
40000.5049,,,,308.8865,,
40000.5088,,,,,489.8298,
40000.7862,,,465.7502,,,
41000.1790,,,,,,303.0538
41000.2538,,,426.2270,,,
41000.2724,,,,506.1177,,
41000.3725,,492.0529,,,,
41000.4413,,,,,490.0331,
41000.4855,699.0079,,,,,
42000.1455,769.2615,,,,,
42000.3662,,,394.9556,,,
42000.5490,,,,,,172.9360
42000.8262,,,,,489.8114,
42001.0200,,492.6810,,,,
42001.0452,,,,176.8633,,
43000.1215,,,,,,186.0795
43000.1338,,,362.0842,,,
43000.1641,525.9902,,,,,
43000.2115,,,,425.3546,,
43000.3200,,,,,493.2497,
43000.3475,,494.3324,,,,
44000.1087,,,349.0087,,,
44000.1621,500.0010,,,,,
44000.2903,,,,115.9909,,
44000.4915,,,,,,182.9323
44000.5725,,,,,493.8753,
44000.8325,,495.7596,,,,
45000.0908,510.0364,,,,,
45000.1937,,,348.9703,,,
45000.6065,,,,,,179.9793
45000.6600,,,,,491.9570,
45000.8225,,492.0049,,,,
45002.2783,,,,445.1151,,
46000.0212,,,371.0640,,,
46000.4525,,,,,493.1023,
46000.5713,,495.1244,,,,
46000.6214,503.7327,,,,,
46000.7840,,,,,,178.9682
46001.3443,,,,111.1038,,
47000.1300,,495.2185,,,,
47000.3135,503.1549,,,,,
47000.3815,,,,,,169.0680
47000.5700,,,397.7817,,,
47000.6250,,,,,492.9150,
47001.7147,,,,400.8515,,
48000.0750,,,371.1837,,,
48000.3012,,,,,493.1597,
48000.3662,,494.8831,,,,
48000.5344,513.8865,,,,,
48000.8915,,,,,,198.8986
48001.0560,,,,170.1120,,
49000.0040,,,,,,162.1439
49000.1288,,,,,490.0845,
49000.2812,,,379.9216,,,
49000.4075,,494.9796,,,,
49000.6171,,,,360.1581,,
49002.4158,489.0799,,,,,
