tag_arrival_rate_per_s,ISCT_Oracle,ISCT_Update3
0,0.0000,0.0000
300,0.0013,0.0000
600,0.0039,0.0340
900,0.1849,0.1677
1200,0.3292,0.3383
1500,0.4452,0.4605
1800,0.5381,0.5327
2100,0.5960,0.6013
2400,0.6543,0.6491
2700,0.6854,0.6950
3000,0.7203,0.7262
